,SMILES,Experimental value
0,Oc1c(cc(cc1C(C)(C)C)C)C(C)(C)C,0
1,O=C(OC)c1ccc(O)cc1,0
2,O=C(OCCC)c1ccc(O)cc1,0
3,OCC(O)C(O)C(O)C(O)CO,0
5,O=C(OCCC)c1cc(O)c(O)c(O)c1,0
6,O=C(O)C,0
7,O=C(O)O,0
14,OCC(O)C,0
15,O=C(O)CCCCCCC,0
16,OCC(O)CO,0
17,O=C(O)N,0
18,O=C(O)CC(O)(C(=O)O)CC(=O)O,0
20,O=C1C(O)=C(O)OC1C(O)CO,0
23,O=C(O)C=CC(=O)O,0
24,O=C([O-])C(O)C(O)C(O)C(O)CO,0
25,O=C(O)C(O)C,0
26,O=C(Oc2c(c(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C)C)C,0
27,Oc2cc(c1OC(C)(CCc1c2C)CCCC(C)CCCC(C)CCCC(C)C)C,0
28,O=C(O)C=C(C(=O)O)CC(=O)O,0
29,O=C([O-])CCCCCCCC=CCCCCCCCC,0
30,O=C([O-])CCCCCCCCCCCCCCC,0
31,O=C(O)CCC(C)C2CCC3C4C(O)CC1CC(O)CCC1(C)C4(CC(O)C23(C)),0
32,O=C(O)CCC(C)C2CCC3C4CCC1CC(O)CCC1(C)C4(CC(O)C23(C)),0
33,O=C(O)CNC(=O)CCC(C)C2CCC3C4C(O)CC1CC(O)CCC1(C)C4(CC(O)C23(C)),0
34,O=C(NCCS(=O)(=O)O)CCC(C)C2CCC3C4C(O)CC1CC(O)CCC1(C)C4(CC(O)C23(C)),0
36,O=C(O)C(O)C(O)C(O)C(O)CO,0
37,O=C(Oc1cc(cc(O)c1(O))C(=O)OCC%10OC(OC(=O)c3cc(O)c(O)c(OC(=O)c2cc(O)c(O)c(O)c2)c3)C(OC(=O)c5cc(O)c(O)c(OC(=O)c4cc(O)c(O)c(O)c4)c5)C(OC(=O)c7cc(O)c(O)c(OC(=O)c6cc(O)c(O)c(O)c6)c7)C%10(OC(=O)c9cc(O)c(O)c(OC(=O)c8cc(O)c(O)c(O)c8)c9))c%11cc(O)c(O)c(O)c%11,0
38,OCC1(O)(OCC(O)C(O)C1(O)),0
39,OC1C(O)C(O)C(O)C(O)C1(O),0
40,O=C(O)CCC(=O)O,0
41,O=C(O)CCCCCCCCCCCCCCCCC,0
43,Oc1ccc(OC)cc1C(C)(C)C,0
44,O=C(O)CC(O)C(=O)O,0
46,O=C(O)C=CC=CC,0
52,O=C(O)CCCCCCCC=CCC=CCCCCC,0
53,O=C(O)CCCCCCCC=CCCCCCCCC,0
55,OCC2OC(OC1(OC(CO)C(O)C1(O))(CO))C(O)C(O)C2(O),0
56,O=COCC,0
57,O=CO,0
59,O=P(O)(O)OC(CO)CO,0
60,O=P(O)(O)OC(CCO)CCO,0
66,O=C(O)CC,0
67,O=C(OCCCCCCCCCCCC)CCSCCC(=O)OCCCCCCCCCCCC,0
70,O=C(O)CCSCCC(=O)O,0
71,O=C(O)CCCCC(=O)O,0
81,O=C(O)CCCCCCCCCCCCCCC,0
82,O=C2c1c(ncn1C)N(C(=O)N2C)C,0
83,O=C1NC2CSC(CCCCC(=O)O)C2(N1),0
84,O=C(O)CCNC(=O)C(O)C(C)(C)CO,0
85,O=C(NCCCO)C(O)C(C)(C)CO,0
87,O=C(C(=O)C)C,0
88,OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C=CC(C)C(C)C)C)))C(=C)CC3,0
89,OC3CC(=CC=C1CCCC2(C)(C1CCC2(C(C)CCCC(C)C)))C(=C)CC3,0
90,O=C(N)N,0
91,OCCc1c([n+](cs1)Cc2cnc(nc2(N))C)C,0
92,C(=CC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C=C(C=CC=C(C=CC2=C(C)CCCC2(C)C)C)C,0
93,O=C3N=C2C(=Nc1cc(c(cc1N2CC(O)C(O)C(O)CO)C)C)C(=O)N3,0
94,O=C3N=C2C(=Nc1cc(c(cc1N2CC(O)C(O)C(O)COP(=O)(O)O)C)C)C(=O)N3,0
97,O=C=O,0
98,OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C,0
99,O=C(OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)C,0
100,O=C(OCC=C(C=CC=C(C=CC1=C(C)CCCC1(C)C)C)C)CCCCCCCCCCCCCCC,0
101,O=C(O)CCC(N)C(=O)O,0
106,O=C(O)c1ccccc1,0
108,O=C(O)CN(CC(=O)O)CCN(CC(=O)O)CC(=O)O,0
109,O=C(O)C(O)C(O)C(=O)O,0
113,O=C1OC(C(O)=C1(O))C(O)CO,0
114,O=C1OC(C(O)=C1(O))C(O)COC(=O)CCCCCCCCCCCCCCC,0
115,O=C1OC(C(=O)C1(O))C(O)CO,0
119,O=C(O)c1cnccc1,0
120,O=C(N)c1cnccc1,0
121,Oc1c(ncc(c1CO)CO)C,0
123,C(=NCC=C)=S,0
124,Oc1ccc(cc1)CN=C=S,0
125,O=C(C)C,0
126,n1cnc(N)c2[nH]cnc12,0
127,OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
128,O=C(O)C(N)C,0
129,O=C(O)C(N)CCCNC(=N)N,0
131,O=C(O)C(N)CC(=N)O,0
132,O=C(O)CC(N)C(=O)O,0
133,OC4CC3=CCC1C(CCC2(C)(C(CCC12)C(C)CCCC(C)C))C3(C)CC4,0
134,O=C(O)C(N)CS,0
135,N=C1NC(O)N(CC1)C2OC(CO)C(O)C2(O),0
136,N=C1NC(O)NCC1,0
137,OCC1OC(O)C(O)C(O)C1(O),0
138,O=CC(O)C(O)C(O)C(O)C(=O)O,0
139,O=C(O)C(N)CCC(=N)O,0
140,O=C(O)CN,0
141,N=C2Nc1[nH]cnc1C(O)N2,0
142,N=C3Nc1c(ncn1C2OC(CO)C(O)C2(O))C(O)N3,0
143,O=C(O)C(N)Cc1cnc[nH]1,0
144,O=C(O)C(N)C(C)CC,0
145,O=C(O)C(N)CC(C)C,0
146,O=C(O)C(N)CCCCN,0
147,O=C(O)C(N)CCSC,0
148,O=C(O)C(N)Cc1ccccc1,0
149,O=C([O-])C(OP(=O)(O)O)=C,0
150,O=C(O)C1NCCC1,0
151,O=C(O)C(N)CO,0
152,O=C2N=C(O)C3=Nc1cc(c(cc1N(C3(=N2))CC(O)C(O)C(O)CO)C)C,0
153,O=C(O)C(N)C(O)C,0
154,Oc1ncc(c(O)n1)C,0
155,O=C(O)C(N)Cc2c[nH]c1ccccc12,0
156,O=C(O)C(N)Cc1ccc(O)cc1,0
157,Oc1nccc(O)n1,0
158,O=C1N=C(O)C=CN1C2OC(CO)C(O)C2(O),0
159,O=C(O)C(N)C(C)C,0
160,O=P(O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
161,O=P(O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
162,O=P(O)(O)OP(=O)(O)OP(=O)(O)OCC3OC(n2cnc1c(ncnc12)N)C(O)C3(O),0
163,O=P(O)(O)OCC3OC(n2cnc1c2(NC(=N)NC1(O)))C(O)C3(O),0
164,O=C1N=C(O)C=CN1C2OC(COP(=O)(O)O)C(O)C2(O),0
165,O=C1N=C(O)C=CN1C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2(O),0
